Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2025-06-11,198.36236572265625,470.9628601074219,177.07569885253906,213.1999969482422,326.42999267578125
2025-06-12,198.78147888183594,477.1909484863281,175.42823791503906,213.24000549316406,319.1099853515625
2025-06-13,196.03726196289062,473.2946472167969,174.39984130859375,212.10000610351562,325.30999755859375
2025-06-16,198.0031280517578,477.46002197265625,176.49659729003906,216.10000610351562,329.1300048828125
2025-06-17,195.2289581298828,476.3638610839844,175.6778564453125,214.82000732421875,316.3500061035156
2025-06-18,196.1669921875,478.5561218261719,173.05194091796875,212.52000427246094,322.04998779296875
2025-06-20,200.5777130126953,475.7261047363281,166.38226318359375,209.69000244140625,322.1600036621094
2025-06-23,201.07664489746094,484.29595947265625,164.9344940185547,208.47000122070312,348.67999267578125
2025-06-24,199.87918090820312,488.3915100097656,166.51206970214844,212.77000427246094,340.4700012207031
2025-06-25,201.1365203857422,490.5439758300781,170.41600036621094,211.99000549316406,327.54998779296875
2025-06-26,200.5777130126953,495.705810546875,173.27159118652344,217.1199951171875,325.7799987792969
2025-06-27,200.6575469970703,494.20111083984375,178.25387573242188,223.3000030517578,323.6300048828125
2025-06-30,204.7389373779297,495.66595458984375,175.95741271972656,219.38999938964844,317.6600036621094
2025-07-01,207.3833770751953,490.32470703125,175.56802368164062,220.4600067138672,300.7099914550781
2025-07-02,211.99366760253906,489.36810302734375,178.3636932373047,219.9199981689453,315.6499938964844
2025-07-03,213.10133361816406,497.0909423828125,179.2523193359375,223.41000366210938,315.3500061035156
2025-07-07,209.50889587402344,495.974853515625,176.5165557861328,223.47000122070312,293.94000244140625
2025-07-08,209.5687713623047,494.8786926269531,174.09031677246094,219.36000061035156,297.80999755859375
2025-07-09,210.69639587402344,501.74456787109375,176.34681701660156,222.5399932861328,295.8800048828125
2025-07-10,211.9637451171875,499.7216796875,177.34527587890625,222.25999450683594,309.8699951171875
2025-07-11,210.7163543701172,501.5552062988281,179.91131591796875,225.02000427246094,313.510009765625
2025-07-14,208.1816864013672,501.2562561035156,181.2791748046875,225.69000244140625,316.8999938964844
2025-07-15,208.67066955566406,504.04644775390625,181.718505859375,226.35000610351562,310.7799987792969
2025-07-16,209.7184600830078,503.84716796875,182.68701171875,223.19000244140625,321.6700134277344
